n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
20,10,0.5,1,37,370,400,0,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,1,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,2,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,3,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,4,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,5,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,6,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,7,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,8,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,9,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,10,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,11,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,12,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,13,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,14,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,15,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,16,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,17,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,18,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,19,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,20,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,21,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,22,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,23,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,24,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,25,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,26,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,27,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,28,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,29,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,30,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,31,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,32,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,33,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,34,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,35,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,36,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,37,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,38,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,39,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,40,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,41,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,42,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,43,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,44,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,45,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,46,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,47,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,48,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,49,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,50,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,51,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,52,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,53,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,54,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,55,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,56,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,57,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,58,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,59,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,60,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,61,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,62,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,63,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,64,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,65,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,66,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,67,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,68,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,69,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,70,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,71,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,72,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,73,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,74,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,75,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,76,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,77,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,78,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,79,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,80,pkp_derived,370,400,0,30,0,0
