n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
24,8,0.3333333333333333,1,34,544,576,0,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,1,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,2,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,3,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,4,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,5,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,6,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,7,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,8,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,9,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,10,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,11,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,12,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,13,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,14,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,15,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,16,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,17,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,18,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,19,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,20,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,21,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,22,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,23,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,24,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,25,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,26,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,27,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,28,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,29,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,30,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,31,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,32,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,33,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,34,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,35,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,36,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,37,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,38,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,39,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,40,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,41,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,42,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,43,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,44,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,45,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,46,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,47,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,48,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,49,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,50,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,51,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,52,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,53,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,54,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,55,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,56,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,57,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,58,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,59,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,60,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,61,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,62,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,63,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,64,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,65,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,66,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,67,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,68,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,69,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,70,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,71,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,72,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,73,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,74,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,75,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,76,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,77,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,78,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,79,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,80,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,81,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,82,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,83,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,84,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,85,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,86,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,87,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,88,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,89,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,90,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,91,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,92,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,93,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,94,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,95,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,96,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,97,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,98,pkp_derived,544,576,0,32,0,0
24,8,0.3333333333333333,1,34,544,576,99,pkp_derived,544,576,0,32,0,0
30,10,0.3333333333333333,1,43,860,900,0,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,1,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,2,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,3,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,4,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,5,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,6,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,7,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,8,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,9,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,10,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,11,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,12,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,13,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,14,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,15,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,16,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,17,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,18,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,19,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,20,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,21,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,22,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,23,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,24,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,25,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,26,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,27,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,28,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,29,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,30,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,31,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,32,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,33,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,34,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,35,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,36,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,37,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,38,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,39,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,40,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,41,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,42,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,43,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,44,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,45,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,46,pkp_derived,860,900,0,40,0,0
