case,n,k,rate,nu,binary_rows,structural_kernel_dimension,target_rank,instance,source,rank_matrix,kernel_dimension,expected_kernel_dimension,deficiency
self_dual,20,10,0.5,5,500,40,360,0,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,1,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,2,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,3,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,4,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,5,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,6,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,7,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,8,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,9,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,10,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,11,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,12,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,13,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,14,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,15,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,16,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,17,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,18,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,19,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,20,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,21,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,22,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,23,pep_derived,360,40,40,0
self_dual,20,10,0.5,5,500,40,360,24,pep_derived,360,40,40,0
