nu,k_psd,k_prime,esser_santini_k_eff,esser_santini_a,esser_santini_b,esser_santini_r0,esser_santini_r1,a,b,r0,r1,q0,s0,q1,s1,log2_S,log2_partition_numerator,log2_partition_numerator_asymptotic,kmp_log2,esser_santini_log2_exact_two_size,esser_santini_log2_smooth,psd_log2_exact_padded,psd_log2_asymptotic
2,4042,3915,3978,62,10,2,1,61,11,3,2,17,2,5,1,241.9951439417241,49.944362512259666,51.167670846073776,207.42815872087536,88.00485605827589,85.51570089911803,4.055637487740341,2.8323291539262243
3,4015,3888,3951,61,47,3,2,60,48,4,3,4,0,16,0,214.9951439417241,59.69925001442313,59.69925001442313,206.48765973262402,95.06049354601623,93.49067429732008,21.300749985576886,21.300749985576886
4,3988,3861,3924,61,20,3,2,60,21,4,3,10,3,7,0,187.9951439417241,66.5293250129808,67.38308438780052,205.59977009894556,106.26650602654502,104.72391175734163,41.47067498701921,40.61691561219948
5,3961,3834,3897,60,57,4,3,59,58,5,4,1,1,14,2,160.9951439417241,72.09636560570469,74.77022497518698,204.80081761788364,118.66199351717,118.26088034348237,62.903634394295295,60.22977502481302
6,3934,3807,3870,60,30,4,3,59,31,5,4,6,3,7,3,133.9951439417241,78.70600608014152,81.11893731160518,194.50559141089772,134.45598103664122,133.51340246370387,83.29399391985848,80.88106268839482
7,3907,3780,3843,60,3,4,3,59,4,5,4,12,0,1,0,106.99514394172411,87.4676496480234,87.4676496480234,174.41057536812963,150.24996855611244,150.09326727784003,101.53235035197662,101.53235035197662
8,3880,3753,3816,59,40,5,4,58,41,6,5,3,5,8,1,79.99514394172411,90.6375746494657,93.02193975325362,163.4055006489669,168.2785817809792,167.73074297379804,125.3624253505343,122.9780602467464
9,3853,3726,3789,59,13,5,4,58,14,6,5,8,2,2,4,52.99514394172411,95.33356846257561,98.43806947045117,154.18059843525305,186.58652321902042,186.2307859545844,147.6664315374244,144.56193052954882
10,3826,3699,3762,58,50,6,5,57,51,7,6,1,6,8,3,25.99514394172411,100.31084838607553,103.52213763866436,148.56111598331222,205.7189763038116,205.44778133993654,169.68915161392448,166.47786236133564
11,3799,3672,3735,58,23,6,5,57,24,7,6,5,5,4,0,0.0,106.37034307286362,108.24860106181745,143.51298200194614,224.61219128802327,224.26527827922106,189.6248008688605,187.74654287990666
12,3772,3645,3708,57,60,7,6,56,61,8,7,0,3,8,5,0.0,107.88551724342791,112.9160157385558,141.76984535494026,217.6728302685002,217.60557810002382,188.1096266982962,183.0791282031683
13,3745,3618,3681,57,33,7,6,56,34,8,7,3,6,4,6,0.0,114.0781623213703,117.11104044397621,137.84612987515703,211.6682348924161,211.39407832100562,181.9169816203538,178.8841034977479
