N,K,codimension,nu,ell,log2_expected_solutions,kmp_log2,esser_santini_log2_exact_two_size,esser_santini_log2_smooth,psd_log2_exact_padded,psd_log2_asymptotic
20,14,6,11,1,-4.922616079093778,36.57139167962269,44.50699332842307,44.35182870145254,33.44982153847214,32.44683455380593
21,15,6,11,1,-0.5302986563150114,40.34273902131991,49.27288159369188,49.17551834388463,39.16406705613828,36.059566048262724
22,15,7,11,1,-7.070867037677729,41.214279253595926,50.566286566259556,50.36914557828966,41.0385361740544,37.532840372312364
23,16,7,11,1,-2.5473050816207063,43.077752011977935,55.4665002302124,55.27515761380392,44.240170035224054,41.27681640004741
24,16,8,11,1,-8.962342580899545,43.96030131388479,56.88825049910995,56.701681905233,45.97713562939027,42.87562160618093
25,17,8,11,1,-4.3184863911248215,48.138288802654884,61.911339510832406,61.688335428356545,48.29906372427763,46.73989186763367
26,17,9,11,1,-10.618046672983724,49.13797544361205,63.450942679033794,63.31247394212253,51.99950344241873,48.45417429118713
27,18,9,11,1,-5.8631591708202535,52.993646774819545,68.58725685044114,68.37736718232955,53.43246284969483,52.42947586502862
28,19,9,11,1,-1.0558042487626693,54.95978042879192,73.77701639430248,73.52870440560517,59.56174586663978,56.45724485876423
29,19,10,11,1,-7.197823253635093,55.892199406264176,75.47710267629026,75.31360660841747,61.8347643610462,58.32906855930416
30,20,10,11,1,-2.2909326580265628,60.37873630050178,80.7681559705083,80.53494522816212,65.41972686176737,62.45637322659071
31,20,11,11,1,-8.3367363476397,61.16823736921437,82.56609896514699,82.4744183272351,67.52592626559928,64.42441224238993
32,21,11,11,1,-3.3367363476397003,65.26936624815096,87.95179762781595,87.76358903383515,70.20399817071191,68.64482631406796
33,21,12,11,1,-9.292342228281242,66.08756985052307,89.84137880754601,89.84137880754601,74.24839229007037,70.70306313883877
34,22,12,11,1,-4.2048793870309,68.58351528591267,95.31589375589067,95.19613253922763,76.01392703643336,75.01094005176714
35,22,13,11,1,-10.075596370085918,69.69993546040826,97.46831905451477,97.39914110232374,81.88017564754455,77.20515216627592
36,23,13,11,1,-4.905671368643624,73.65897128219716,102.84981673086556,102.81723212233327,85.05010064898684,81.5444048472448
37,23,14,11,1,-10.696218003014678,74.43194973202966,105.26022858243597,105.13468241921957,87.93762591972842,83.8954168986647
38,24,14,11,1,-5.448290489571093,78.85813199811476,110.66190909346889,110.61391599430858,91.60059093245084,88.26158569948342
39,25,14,11,1,-0.16288827070883372,82.23668777956368,116.21934702479527,116.15554861780022,94.30103065059194,92.74185879394798
40,25,15,11,1,-5.840960175821493,83.54123343586151,118.68482797083104,118.57504361077112,97.62295874547928,95.17980237855056
41,26,15,11,1,-0.4834081712033935,86.59942877565334,124.19754589312576,124.17274276417093,100.65858265521003,99.65559567054382
42,26,16,11,1,-6.0910907484246195,87.42443137578687,126.85207652476836,126.69092187278497,103.2435451559312,102.24055817126498
43,27,16,11,1,-0.6648259937225305,92.26011241474603,132.43433874869845,132.34292534153,111.2141304268571,106.78506421334221
44,27,17,11,1,-6.205394375085234,93.28122754352405,135.1567765808254,134.95302461777564,113.86620712343678,109.43714090992191
45,28,17,11,1,-0.7135412787555708,97.98088591602453,140.8053842240675,140.65763388892995,117.25852454621553,114.04723529362671
46,28,18,11,1,-6.18997932269852,98.76293430188677,143.59267593213082,143.3537824293524,119.97473158021498,116.76344232762617
47,29,18,11,1,-0.6353904710209406,101.15953286095676,149.304711510805,149.10936892457713,126.11428293261372,121.43627246667889
48,29,19,11,1,-6.050427970299751,102.22297578246892,152.1540665808476,151.88642170792488,128.8918905112773,124.21388004534248
49,30,19,11,1,-0.43571812618452554,106.79983796670786,157.92685843632512,157.69142920755098,132.4070646818416,128.94683117683286
50,30,20,11,1,-5.791861936409788,107.56142145630976,160.83571662769225,160.54483912493095,135.24356594955873,131.78333244454998
51,31,20,11,1,-0.11943659443838328,112.40731816615045,166.6668091079501,166.39778377204505,138.331028790809,136.57399907389652
52,31,21,11,1,-5.4189968762972,113.25960487068109,169.6328130750167,169.3235020594157,141.22411358689257,139.46708386998012
53,31,22,11,1,-10.691076421734039,114.1409101477663,172.62656288780553,172.31729753849132,144.14467911939812,142.38764940248566
54,32,22,11,1,-4.936188919570611,118.84673298882454,178.54091344123108,178.2173684896913,150.70692154361916,147.26077819202425
55,32,23,11,1,-10.15482920604589,120.18466815267793,181.58860363253615,181.27630874949298,153.68092633508627,150.23478298349136
56,33,23,11,1,-4.3474742839882765,122.39638447466751,187.55590455235352,187.22182170780667,156.90331875642272,155.1603791929241
57,33,24,11,1,-9.51458426982353,123.3581514713258,190.65559078879406,190.3429808488093,159.92885384852988,158.18591428503126
58,34,24,11,1,-3.6566032746960104,128.44882127653972,196.67396722725076,196.33261650415054,168.00922726499385,163.1621365675339
59,34,25,11,1,-8.773960225334179,129.18027833997994,199.82384048647629,199.5133265687282,171.08451539229807,166.23742469483815
60,35,25,11,1,-2.867069629725563,134.22518698804032,205.89154583908658,205.54583435231413,174.47683281507693,171.2625565778219
61,35,26,11,1,-7.936332292162717,135.02839660089228,209.08991875818765,208.78365217539817,177.6002152305822,174.38593899332716
62,36,26,11,1,-1.9821359817758548,139.1722849831918,215.20532193928562,214.8578457453514,183.55441154096906,179.45837659108915
63,36,27,11,1,-7.004856058275948,140.46926142682057,218.45061694007018,218.15052529221995,186.72433654241132,182.62830159253147
64,37,27,11,1,-1.004856058275891,143.51298200194614,224.61219128802327,224.26527827922106,189.6248008688605,187.74654287990666
65,37,28,11,1,-5.982488245247453,144.39778387477983,227.9029301991489,227.6107473771086,192.83981375983132,190.9615557708775
66,37,29,11,1,-10.938094125889052,145.33581007722097,231.21586529423337,231.0048578068865,196.07685295713213,194.1985949681783
67,38,29,11,1,-4.872004935431335,150.64543720449723,237.44403870569397,237.16133002438013,202.14294214758985,199.38292544601114
68,38,30,11,1,-9.784542094180892,151.36125587348,240.80036721432242,240.60447221307803,205.42305006678268,202.663033365204
69,39,30,11,1,-3.676017637402765,156.61330307488586,247.07129105544078,246.79947443604547,212.0758950397846,207.88979910935728
70,39,31,11,1,-8.546734620457812,157.4050366234718,250.46974578817085,250.29000151457748,215.39782313467197,211.21172720424462
71,40,31,11,1,-2.3969875009531165,161.80932740362806,256.7821896153035,256.5225535396563,218.64067965856813,216.47971561112445
72,40,32,11,1,-7.227062499510794,163.09625382561265,260.22157529859356,260.0589274791426,222.00324973795284,219.8422856905092
73,41,32,11,1,-1.037237940630689,166.16122508533837,266.5743775214362,266.32809633165283,230.00042921889056,225.15035153676442
74,41,33,11,1,-5.827784575001772,167.0782549324734,270.0535648440133,269.9088773700402,233.40252766246186,228.55244998033572
75,41,34,11,1,-10.598965884506015,168.0547518470797,273.5522486389381,273.5299309687961,236.82399143090004,231.9739137487739
76,42,34,11,1,-4.351038371062373,173.3382394678767,279.9635474019074,279.8376115109302,239.97238327079276,237.34008254959267
77,42,35,11,1,-9.084251830367464,174.05167114386862,283.50045107797837,283.5004510779783,243.4318148894301,240.79951416823
78,43,35,11,1,-2.7988496115051475,179.53226980747624,289.9494700441742,289.84301224821223,248.7172171082924,246.20315767446743
79,43,36,11,1,-7.495068863328129,180.34892927946206,293.5642491276833,293.5464456577358,252.2136429344118,249.69958350058684
80,44,36,11,1,-1.17314076844076,185.3503506008569,300.00938515663165,299.92307411734254,258.0209978564694,255.1397528828494
81,44,37,11,1,-5.833290765556171,186.64440518989977,303.7011028325681,303.6659761247155,263.2904585314626,258.6919308791479
82,44,38,11,1,-10.4757387609381,187.71309142461286,307.5731999488565,307.4442174150746,265.3260824411933,262.3602254545379
83,45,38,11,1,-4.100699329591123,190.4862067075623,313.90920797792944,313.8572017683872,273.02304996742765,267.7550915959021
84,45,39,11,1,-8.708381906812292,191.5561431257816,317.8162816608107,317.6728657158392,272.508476794598,271.4581515894528
85,46,39,11,1,-2.2989909706747085,196.50581003225034,324.18684732506057,324.11837246192977,281.91786773073557,276.88736923560765
86,46,40,11,1,-6.872726215972534,197.2405785579116,328.1280696289965,327.9705047296229,282.53677756338016,280.6243765610817
87,47,40,11,1,-0.42978272012391017,203.02385353695175,334.5323844694165,334.447822085241,290.2021134805652,286.08714676694757
88,47,41,11,1,-4.970351101486472,203.92193288188452,338.5069657419195,338.33551615794386,294.4391526778662,289.8573209563569
89,47,42,11,1,-9.494617670520142,204.87307069058602,342.4979416291069,342.25469344918577,296.32992360811136,293.6437969580951
90,48,42,11,1,-3.002764574190394,210.43163148212403,348.9514445487293,348.76635622930615,304.8217767044411,299.155476764442
91,48,43,11,1,-7.4949699339916265,211.14016657859275,352.9746611084001,352.7194514478724,307.3295713446399,302.97401397541273
92,49,43,11,1,-0.9714079779347458,214.76101515892668,359.460048413525,359.2615506426558,314.26817079997556,308.51740264148685
93,49,44,11,1,-5.4322491668266935,215.9431781446536,363.5148008605869,363.24778056206407,317.07036401691744,312.36730402336684
94,49,45,11,1,-9.877660315149,217.14992422202658,367.58506645649805,367.2630646753326,316.2326354458164,316.2326354458164
95,50,45,11,1,-3.3078047068182173,221.01173338342107,374.11699679620125,373.83830687920585,326.0248834754836,321.8223177641644
96,50,46,11,1,-7.722842206096971,221.873181679028,378.2177970452524,377.8853111695305,329.38745355486844,325.7180228356575
97,51,46,11,1,-1.1229293639098046,227.85248321996846,384.7799422741339,384.4897147699947,334.4024038963344,331.33776238786197
98,51,47,11,1,-5.508219519794579,228.53521202869177,388.91064427653305,388.56775462437366,340.60207624117083,335.263214802749
99,51,48,11,1,-9.878862899715045,229.2211799030721,393.0560679123841,392.67276912836076,341.6464703605292,339.20331399360043
100,52,48,11,1,-3.2350067099403077,235.06705422645211,399.6623811079363,399.3091630657823,350.7053640495827,344.8669968933924
101,52,49,11,1,-7.576795227188541,235.85734565890056,403.8368048596552,403.44398193223884,352.6266099381683,348.8359509469161
102,53,49,11,1,-0.9043698852169655,241.2392196093167,410.4718295887776,410.1083540070737,360.03600087430607,354.52820299890493
103,53,50,11,1,-5.217869358033795,242.4941693587174,414.67468197881675,414.27237290046077,362.4005733066019,358.5254460968599
104,53,51,11,1,-9.517429639892612,243.49774598746345,418.89154133687896,418.4615662129379,364.29365810268547,362.53662838577304
105,54,51,11,1,-2.8031841222265257,246.700026672981,425.56858961110936,425.15683016740337,371.4229411196304,368.27070061345637
106,54,52,11,1,-7.075263667663307,247.8035051466891,429.8130614111257,429.3741412749459,376.7358240749148,372.3093636387914
