n p nu prob
4 2 2 1.0
4 2 3 0.0
4 2 4 0.03762135922330097
4 2 5 0.0
4 2 6 0.0010548523206751054
4 2 7 0.0
4 2 8 0.0
6 2 2 1.0
6 2 3 0.2080856123662307
6 2 4 0.07213114754098361
6 2 5 0.017634854771784232
6 2 6 0.0010245901639344263
6 2 7 0.0
6 2 8 0.0
8 2 2 0.7388059701492538
8 2 3 0.06854345165238677
8 2 4 0.0072992700729927005
8 2 5 0.0
8 2 6 0.0
8 2 7 0.0
8 2 8 0.0
10 2 2 0.9825870646766169
10 2 3 0.08763505402160865
10 2 4 0.002145922746781116
10 2 5 0.0
10 2 6 0.0
10 2 7 0.0
10 2 8 0.0
12 2 2 0.9800498753117207
12 2 3 0.06264775413711583
12 2 4 0.0
12 2 5 0.0
12 2 6 0.0
12 2 7 0.0
12 2 8 0.0
