n p nu prob
4 3 2 1.0
4 5 2 1.0
4 7 2 1.0
4 11 2 0.344206974128234
4 13 2 0.5463362068965517
4 17 2 0.3037974683544304
8 3 2 1.0
8 5 2 0.6074534161490683
8 7 2 0.22275449101796407
8 11 2 0.027502750275027504
8 13 2 0.013086150490730643
8 17 2 0.002150537634408602
12 3 2 1.0
12 5 2 0.590738423028786
12 7 2 0.13194444444444445
12 11 2 0.005506607929515419
12 13 2 0.002190580503833516
12 17 2 0.0
16 3 2 1.0
16 5 2 0.5995085995085995
16 7 2 0.10508083140877598
16 11 2 0.002190580503833516
16 13 2 0.0010845986984815619
16 17 2 0.0010672358591248667
